Country,Capital,Currency,Language
Afghanistan,Kabul,Afghani,Pashto/Dari (Persian)
Albania,Tirane,Lek,Albanian
Algeria,Algiers,Dinar,Araic
Andorra,Andorra la Vella,Euro,Catalan
Angola,Luanda,Kwanza,Portuguese
Antigua,Saint John's,East Caribbean Dollar,English
Barbuda,Saint John's,East Caribbean Dollar,English
Argentina,Buenos Aires,Peso,Spanish
Armenia,Yerevan,Dram,Armenian
Australia,Canberra,Australian dollar,English
Austria,Vienna,Euro,German
Azerbaijan,Baku,Manat,Azerbaijani
The Bahamas,Nassau,Bahamian Dollar,English
Bahrain,Manama,Bahraini dinar,Arabic
Bangladesh,Dhaka,Taka,Bengali
Barbados,Bridgetown,Barbadian Dollar,English
Belarus,Minsk,Belarusian ruble,Belarusian/Russian
Belgium,Brussels,Euro,Dutch/French/German
Belize,Belmopan,Belize Dollar,English
Benin,Porto-Novo,CFA franc,French
Bhutan,Thimphu,Bhutanese ngultrum,Dzongkha
Bolivia,Sucre (constitutional)/La Paz (administrative),Boliviano,Spanish
Bosnia,Sarajevo,Convertible mark,Bosnian/Croatian/Serbian
Herzegovina,Sarajevo,Convertible mark,Bosnian/Croatian/Serbian
Botswana,Gaborone,Pula,English/Setswana
Brazil,Brasilia,Real,Portuguese
Brunei,Bandar Seri Begawan,Brunei dollar,Bahasa Melayu
Bulgaria,Sofia,Lev,Bulgarian
Burkina Faso,Ouagadougou,CFA franc,French
Burundi,Bujumbura,Burundian franc,Kirundi/French
Cambodia,Phnom Penh,Riel,Khmer
Cameroon,Yaounde,CFA franc,French/English
Canada,Ottawa,Canadian Dollar,French/English
Cape Verde,Praia,Cape Verdean escudo,Portuguese
Central African Republic,Bangui,CFA franc,French/Sango
Chad,N'Djamena,CFA franc,French/Arabic
Chile,Santiago,Peso,Spanish
China,Beijing,Renminbi (yuan),Standard Chinese
Colombia,Bogota,Peso,Spanish
Comoros,Moroni,Comorian franc,Comorian/Arabic/French
Congo (Congo-Brazzaville),Brazzaville,CFA franc,French
Democratic Republic of the Congo,Kinshasa,Congolese franc,French
Costa Rica,San Jose,Costa Rican colon,Spanish
Cote d'Ivoire (Ivory Coast),Yamoussoukro,CFA franc,French
Croatia,Zagreb,Kuna,Croatian
Cuba,Havana,Cuban peso,Spanish
Cyprus,Nicosia,Euro,Greek/Turkish
Czech Republic,Prague,Czech koruna,Czech
Denmark,Copenhagen,Danish krone,Danish
Djibouti,Djibouti,Djiboutian franc,French/Arabic
Dominica,Roseau,Dominican peso,Spanish
Dominican Republic,Santo Domingo,Dominican peso,Spanish
East Timor (Timor-Leste),Dili,US Dollar,Portuguese/Tetum
Ecuador,Quito,United States dollar,Spanish
Egypt,Cairo,Egyptian pound,Arabic
El Salvador,San Salvador,United States Dollar,Spanish
Equatorial Guinea,Malabo,Equatorial Guinean peseta,Spanish/French/Portuguese
Eritrea,Asmara,Tallero,Tigrinya/English/Arabic
Estonia,Tallinn,Euro,Estonian
Ethiopia,Addis Ababa,Birr,Amharic
Fiji,Suva,Fijian dollar,
Finland,Helsinki,Euro,Finnish/Swedish
France,Paris,Euro/CFP franc,French
Gabon,Libreville,CFA franc,French
Gambia,Banjul,Gambian dalasi,English
Georgia,Tbilisi,Lari,Georgian
Germany,Berlin,Euro,German
Ghana,Accra,Ghana cedi,English
Greece,Athens,Euro,Greek
Grenada,Saint Georgeäó»s,East Caribbean Dollar,English
Guatemala,Guatemala City,Guatemalan quetzal,Spanish
Guinea,Conakry,Guinean franc,French
Guinea-Bissau,Bissau,CFA franc,Portuguese
Guyana,Georgetown,Guyanese dollar,English
Haiti,Port-au-Prince,Haitian gourde,French
Honduras,Tegucigalpa,Honduran lempira,Spanish
Hungary,Budapest,Forint,Hungarian
Iceland,Reykjavik,Icelandic krí_na,Icelandic
India,New Delhi,Rupee,Hindi/English
Indonesia,Jakarta,Rupiah,Indonesian
Iran,Tehran,Rial,Persian
Iraq,Baghdad,Iraqi dinar,Kurdish
Ireland,Dublin,Euro,English/Irish
Israel,Jerusalem,New Shekel,Hebrew/Arabic
Italy,Rome,Euro,Italian
Jamaica,Kingston,Jamaican Dollar,English
Japan,Tokyo,Yen,Japanese
Jordan,Amman,Jordanian dinar,Arabic
Kazakhstan,Astana,Tenge,Kazakh/Russian
Kenya,Nairobi,Kenyan shilling,Swahili/English
Kiribati,Tarawa Atoll,,
North Korea,Pyongyang,North Korean won,Korean
South Korea,Seoul,South Korean won,Korean
Kosovo,Pristina,Euro,Albanian/Serbian
Kuwait,Kuwait City,Kuwaiti dinar,Arabic
Kyrgyzstan,Bishkek,Som,Kyrgyz/Russian
Laos,Vientiane,Kip,Lao
Latvia,Riga,Euro,Latvian
Lebanon,Beirut,Lebanese pound,Arabic
Lesotho,Maseru,Lesotho loti,English/Sesotho
Liberia,Monrovia,Liberian dollar,English
Libya,Tripoli,Dinar,Arabic
Liechtenstein,Vaduz,Swiss franc,German
Lithuania,Vilnius,Euro,Lithuanian
Luxembourg,Luxembourg,Euro,Luxembourgish/French/German
Macedonia,Skopje,Macedonian denar,Macedonian
Madagascar,Antananarivo,Malagasy ariary,Malagasy/French
Malawi,Lilongwe,Kwacha,English/Chichewa
Malaysia,Kuala Lumpur,Ringgit,Malaysian
Maldives,Male,Maldivian rufiyaa,Maldivian
Mali,Bamako,CFA franc,French
Malta,Valletta,Euro,Maltese/English
Marshall Islands,Majuro,,
Mauritania,Nouakchott,Ouguiya,Arabic
Mauritius,Port Louis,Mauritian rupee,Mauritian/Creole/French/English
Mexico,Mexico City,Mexican peso,Spanish
"Micronesia, Federated States of",Palikir,,
Moldova,Chisinau,Moldovan leu,Moldovan
Monaco,Monaco,Euro,French
Mongolia,Ulaanbaatar,Tí_grí_g,Mongolian
Montenegro,Podgorica,Euro,Montenegrin
Morocco,Rabat,Moroccan dirham,Arabic/Berber
Mozambique,Maputo,Mozambican metical,Portuguese
Myanmar (Burma),Naypyidaw,Kyat,Burmese
Namibia,Windhoek,Namibian dollar,English
Nauru,Yaren (de facto),,
Nepal,Kathmandu,Nepalese rupee,Nepali
Netherlands (Holland),Amsterdam,Euro,Dutch
New Zealand,Wellington,New Zealand Dollar,Maori/New Zealand Sign/English
Nicaragua,Managua,Nicaraguan cordoba,Spanish
Niger,Niamey,CFA franc,French
Nigeria,Abuja,Naira,English
Norway,Oslo,Norwegian krone,Norwegian/Bokmí«l/Nynorsk
Oman,Muscat,Rial,Arabic
Pakistan,Islamabad,Pakistani Rupee,English/Urdu
Palau,Melekeok,,
Panama,Panama City,United States Dollar/Panamanian balboa,Spanish
Papua New Guinea,Port Moresby,,
Paraguay,Asuncion,Guaraní,Spanish/Guaraní
Peru,Lima,Nuevo sol,Spanish
Philippines,Manila,Philippine Peso,Filipino/English
Poland,Warsaw,Zaoty,Polish
Portugal,Lisbon,Euro,Portuguese
Qatar,Doha,Riyal,Arabic
Romania,Bucharest,Romanian leu,Romanian
Russia,Moscow,Russian ruble,Russian
Rwanda,Kigali,Rwandan franc,Kinyarwanda/English/French
Saint Kitts,Basseterre,East Caribbean Dollar,English
Nevis,Basseterre,East Caribbean Dollar,English
Saint Lucia,Castries,East Caribbean Dollar,English
Saint Vincent,Kingstown,East Caribbean Dollar,English
Grenadines,Kingstown,East Caribbean Dollar,English
Samoa,Apia,,
San Marino,San Marino,Euro,Italian
Sao Tome,Sao Tome,Dobra,Portuguese
Principe,Sao Tome,Dobra,Portuguese
Saudi Arabia,Riyadh,Saudi riyal,Arabic
Senegal,Dakar,CFA franc,French
Serbia,Belgrade,Serbian dinar,Serbian
Seychelles,Victoria,Seychellois rupee,Seychellois Creole/French/English
Sierra Leone,Freetown,Leone,English
Singapore,Singapore,Singapore dollar,English/Chinese/Malay/Tamil
Slovakia,Bratislava,Euro,Slovak
Slovenia,Ljubljana,Euro,Slovene
Solomon Islands,Honiara,,
Somalia,Mogadishu,Somali shilling,Somali/Arabic
South Africa,Pretoria (administrative); Cape Town (legislative); Bloemfontein (judiciary),South African rand,Afrikaans/English
South Sudan,Juba,South Sudanese pound,English
Spain,Madrid,Euro,Spanish/Catalan
Sri Lanka,Sri Jayewardenepura Kotte (administrative); Colombo (trade),Sri Lankan rupee,Sinhala/Tamil
Sudan,Khartoum,Sudanese pound,Arabic/English
Suriname,Paramaribo,Surinamese dollar,Dutch
Swaziland,Mbabane(Administrative) / Lobamba (Royal and Legislative),Lilangeni,English/Swati
Sweden,Stockholm,Swedish krona,Swedish
Switzerland,Bern,Swiss franc,German/French/Italian/Romansh
Syria,Damascus,Syrian pound,Arabic
Taiwan,Taipei,New Taiwan dollar,Standard Chinese
Tajikistan,Dushanbe,Somoni,Tajik
Tanzania,Dodoma (administrative); Dar es Salaam,Tanzanian shilling,Swahili/English
Thailand,Bangkok,Baht,Thai
Togo,Lome,CFA franc,French
Tonga,Nuku'alofa,,
Trinidad,Port-of-Spain,Trinidad and Dollar,English
Tobago,Port-of-Spain,Tobago Dollar,English
Tunisia,Tunis,Tunisian dinar,Arabic
Turkey,Ankara,Turkish lira,Turkish
Turkmenistan,Ashgabat,Turkmen new manat,Turkmen
Tuvalu,Funafuti province,,
Uganda,Kampala,Ugandan shilling,Swahili/English/Luganda
Ukraine,Kyiv,Ukrainian hryvnia,Ukrainian
United Arab Emirates,Abu Dhabi,UAE dirham,Arabic
United Kingdom,London,Pound sterling,English
United States of America,Washington D.C.,United States Dollar,English
Uruguay,Montevideo,Uruguayan peso,Spanish
Uzbekistan,Tashkent,Uzbekistan som,Uzbek
Vanuatu,Port-Vila,Vanuatu vatu,Bislama/French/English
Vatican City (Holy See),Vatican City,Euro,Italian
